,address,kbytes,rss,dirty,mode,mapping
311,00007f2e08612000,8,8,8,r----,libnetty_transport_native_epoll_x86_646237000455879694593.so (deleted)
312,00007f2e08614000,4,4,4,rw---,[ anon ]
313,00007f2e08618000,4,4,0,r----,librt.so.1
314,00007f2e08619000,4,4,0,r-x--,librt.so.1
315,00007f2e0861a000,4,0,0,r----,librt.so.1
316,00007f2e0861b000,4,4,4,r----,librt.so.1
317,00007f2e0861c000,4,4,4,rw---,librt.so.1
318,00007f2e0861d000,4,4,0,r----,libdl.so.2
319,00007f2e0861e000,4,4,0,r-x--,libdl.so.2
320,00007f2e0861f000,4,0,0,r----,libdl.so.2
321,00007f2e08620000,4,4,4,r----,libdl.so.2
322,00007f2e08621000,4,4,4,rw---,libdl.so.2
323,00007f2e08622000,4,0,0,-----,[ anon ]
324,00007f2e08623000,16,0,0,-----,[ anon ]
325,00007f2e08627000,1008,112,112,rw---,[ anon ]
326,00007f2e08723000,16,16,0,r----,libverify.so
327,00007f2e08727000,28,28,0,r-x--,libverify.so
328,00007f2e0872e000,8,8,0,r----,libverify.so
329,00007f2e08730000,8,8,8,r----,libverify.so
330,00007f2e08732000,4,4,4,rw---,libverify.so
331,00007f2e08733000,4,0,0,-----,[ anon ]
332,00007f2e08734000,16,0,0,-----,[ anon ]
333,00007f2e08738000,1008,88,88,rw---,[ anon ]
334,00007f2e08834000,4,0,0,-----,[ anon ]
335,00007f2e08835000,16,0,0,-----,[ anon ]
336,00007f2e08839000,1008,96,96,rw---,[ anon ]
337,00007f2e08935000,16,16,0,r----,libnss_resolve.so.2
338,00007f2e08939000,100,48,0,r-x--,libnss_resolve.so.2
339,00007f2e08952000,32,8,0,r----,libnss_resolve.so.2
340,00007f2e0895a000,4,4,4,r----,libnss_resolve.so.2
341,00007f2e0895b000,4,4,4,rw---,libnss_resolve.so.2
342,00007f2e0895c000,8,8,0,r----,libcap.so.2.48
343,00007f2e0895e000,16,8,0,r-x--,libcap.so.2.48
344,00007f2e08962000,8,0,0,r----,libcap.so.2.48
345,00007f2e08964000,4,4,4,r----,libcap.so.2.48
346,00007f2e08965000,4,4,4,rw---,libcap.so.2.48
347,00007f2e08966000,20,20,0,r----,libnss_myhostname.so.2
348,00007f2e0896b000,76,72,0,r-x--,libnss_myhostname.so.2
349,00007f2e0897e000,48,16,0,r----,libnss_myhostname.so.2
350,00007f2e0898a000,20,20,20,r----,libnss_myhostname.so.2
351,00007f2e0898f000,4,4,4,rw---,libnss_myhostname.so.2
352,00007f2e08990000,4,0,0,-----,[ anon ]
353,00007f2e08991000,16,0,0,-----,[ anon ]
354,00007f2e08995000,1008,108,108,rw---,[ anon ]
355,00007f2e08a91000,4,0,0,-----,[ anon ]
356,00007f2e08a92000,16,0,0,-----,[ anon ]
357,00007f2e08a96000,1008,108,108,rw---,[ anon ]
358,00007f2e08b92000,4,0,0,-----,[ anon ]
359,00007f2e08b93000,16,0,0,-----,[ anon ]
360,00007f2e08b97000,1008,96,96,rw---,[ anon ]
361,00007f2e08c93000,4,0,0,-----,[ anon ]
362,00007f2e08c94000,1024,16,16,rw---,[ anon ]
363,00007f2e08d94000,4,0,0,-----,[ anon ]
364,00007f2e08d95000,1024,16,16,rw---,[ anon ]
365,00007f2e08e95000,4,0,0,-----,[ anon ]
366,00007f2e08e96000,1024,16,16,rw---,[ anon ]
367,00007f2e08f96000,4,0,0,-----,[ anon ]
368,00007f2e08f97000,16,0,0,-----,[ anon ]
369,00007f2e08f9b000,1008,88,88,rw---,[ anon ]
370,00007f2e09097000,4,0,0,-----,[ anon ]
371,00007f2e09098000,16,0,0,-----,[ anon ]
372,00007f2e0909c000,1008,88,88,rw---,[ anon ]
373,00007f2e09198000,4,0,0,-----,[ anon ]
374,00007f2e09199000,16,0,0,-----,[ anon ]
375,00007f2e0919d000,1008,92,92,rw---,[ anon ]
376,00007f2e09299000,4,4,0,r----,libextnet.so
377,00007f2e0929a000,4,4,0,r-x--,libextnet.so
378,00007f2e0929b000,4,0,0,r----,libextnet.so
379,00007f2e0929c000,4,4,4,r----,libextnet.so
380,00007f2e0929d000,4,4,4,rw---,libextnet.so
381,00007f2e0929e000,4,0,0,-----,[ anon ]
382,00007f2e0929f000,16,0,0,-----,[ anon ]
383,00007f2e092a3000,1008,136,136,rw---,[ anon ]
384,00007f2e0939f000,8,8,0,r----,libmanagement_ext.so
385,00007f2e093a1000,12,12,0,r-x--,libmanagement_ext.so
386,00007f2e093a4000,4,4,0,r----,libmanagement_ext.so
387,00007f2e093a5000,4,4,4,r----,libmanagement_ext.so
388,00007f2e093a6000,4,4,4,rw---,libmanagement_ext.so
389,00007f2e093a7000,48,48,0,r----,libnspr4.so
390,00007f2e093b3000,148,8,0,r-x--,libnspr4.so
391,00007f2e093d8000,44,0,0,r----,libnspr4.so
392,00007f2e093e3000,8,0,0,r----,libnspr4.so
393,00007f2e093e5000,4,0,0,rw---,libnspr4.so
394,00007f2e093e6000,12,0,0,rw---,[ anon ]
